OBJECTID,NAME,PMA,PARKSBND_AREA,SHAPE_Length,SHAPE_Area
162,FRITZ HEDGES WATERWAY PARK,4490,156853.34531,2018.02782696502,156852.717897264
163,FROULA PLAYGROUND,287,115518.346618,2279.31469430808,115517.884544865
164,GARFIELD PLAYFIELD,353,366547.406656,2759.10888972084,366545.940467621
165,GARFIELD PLAYFIELD,3115,5901.832226,311.98338047947,5901.80861831036
166,GARFIELD TEEN LIFE CENTER,4625,9329.271759,521.702196073347,9329.23444167263
167,GAS WORKS PARK,293,930101.62236,4520.71837767844,930097.901955357
168,GEMENSKAP PARK,4619,20645.014893,1006.09225310822,20644.9323135936
169,GENESEE PARK AND PLAYFIELD,409,2512343.762855,12924.859017694,2512333.71348798
170,GEORGETOWN PLAYFIELD,410,230145.849021,2027.97146593034,230144.928438905
171,GEORGETOWN PUMP STATION,635,11717.360773,463.638678693948,11717.3139032358
172,GERBER PARK,3759,7126.962854,453.926714123208,7126.93434684621
173,GILMAN PLAYGROUND,242,170325.786591,1662.75500759313,170325.105288409
174,GOLDEN GARDENS PARK,243,4324217.273724,23356.8125441981,4324199.97686814
175,GRAND ARMY CEMETERY,354,124491.45479,1470.93251340709,124490.956825542
176,GREEN LAKE,307,11150307.09654,16029.2721505723,11150262.4953601
177,GREEN LAKE PARK,307,3765452.649792,33088.7130786392,3765437.58799535
178,GREENWOOD PARK,4408,119167.772147,1414.30890149416,119167.295476497
179,GREENWOOD TRIANGLE,245,4502.904602,353.038650045309,4502.88659079263
180,GREG DAVIS PARK,4157,61105.816569,1105.92652946787,61105.5721437142
181,HALLER LAKE COMMUNITY ST END,4464,15470.693536,635.679098398641,15470.6316534081
182,HAMILTON VIEWPOINT PARK,454,734721.887994,8357.79380555031,734718.949111623
183,HARBOR PATROL,478,77296.44311,1220.71290327381,77296.1339256017
184,HARRISON RIDGE GREENBELT,356,171022.049979,4152.35566238368,171021.365892669
185,HARVARD-MILLER/ROANOKE ANNEX,3695,6401.862845,358.051515834924,6401.83723804313
186,HELENE MADISON POOL,285,183349.750322,1815.44319853729,183349.016922698
187,HERRINGS HOUSE PARK (Tulaltx),4412,663954.927134,5025.85101934108,663952.271318263
188,HIAWATHA PLAYFIELD,456,526307.550461,2904.35504221997,526305.445230205
189,HIGHLAND DRIVE PARKWAY,3983,3331.306692,579.247718677718,3331.29336725654
190,HIGHLAND PARK PLAYGROUND,457,276582.934668,2160.74279891171,276581.828337886
191,HILLMAN P-PATCH,4102,9253.880689,385.642797782356,9253.8436735275
192,HING HAY PARK,358,14403.108011,480.050979858467,14403.0503984767
193,HING HAY PARK ADDITION,358,13322.59072,462.045318843818,13322.5374302104
194,HITTS HILL PARK,4413,137071.562965,2087.47306688286,137071.014679113
195,HOMER HARRIS PARK,4426,21621.382943,600.376709453407,21621.2964568876
196,HOMEWOOD NATURAL AREA ON THORNTON CREEK,4417,42029.490974,1668.20619354182,42029.322856382
197,HORIUCHI PARK,43,12503.340731,568.301454468731,12503.2907168233
198,HORTON HILL CORRIDOR,3927,12973.694187,552.455868371909,12973.642292553
199,HOWELL PARK,359,37586.936716,944.684992874686,37586.7863681042
200,HUBBARD HOMESTEAD PARK,4456,162797.862364,1739.86153067829,162797.211173529
201,HUNTER BOULEVARD,4032,55954.760203,3107.18587190662,55954.5363817216
202,HYDE PLACE,3905,385.128361,95.0095089471238,385.126820607187
203,I-5 COLONNADE,4446,372516.24113,3082.1100044315,372514.751066703
204,I-90 LID: UNNAMED,4432,112825.385332,2784.15185347791,112824.934030341
205,ID/CHINATOWN COMMUNITY CENTER,4437,8637.110501,383.983621350299,8637.07595299268
206,INTERBAY ATHLETIC FIELD,3887,322118.656847,2632.49875205959,322117.368373869
207,INTERBAY GOLF,313,1757332.021535,6541.51469509618,1757324.99221764
208,INTERBAY P-PATCH,4086,83102.742377,1141.18476567935,83102.4099651455
